id,location,name,followers_count,statuses_count,time_zone,verified,lang,screen_name,description,created_at,favourites_count,friends_count,listed_count
18710816,near Utah Ave & Lighthouse an,Robby Delaware,304,11484,Pacific Time (US & Canada),FALSE,en,RobbyDelaware,"I support the free movement of people, ideas and capital.",Wed Jan 07 04:38:02 +0000 2009,17,670,13
100345056,still ⬆️Block⤵️Corner⬇️street,#Ezekiel2517✨...,1053,31858,,FALSE,en,SCOTTGOHARD,"CELEBRITY TRAINER ✨#424W147th✨ #CrossfitCoach #NSCA #IRepresentIntellectualViolence...Robinson Cano,Ice T,Missy Elliott, #EaglesDontFlyInFlocks...",Tue Dec 29 23:15:22 +0000 2009,2774,1055,35
247165706,"Chicago, IL",B E C K S T E R✨,650,6742,Mountain Time (US & Canada),FALSE,en,Beckster319,Rebecca Lynn Hirschfeld Actress.Model.Writer.Amateur Race Car Driver. ~ Adorkable,Fri Feb 04 06:38:45 +0000 2011,7273,896,30
249538861,,Chris Osborne,44,843,,FALSE,en,skatewake1994,,Wed Feb 09 07:38:44 +0000 2011,227,154,1
449689677,,Рамзан Кадыров,94773,10877,Moscow,FALSE,ru,KadirovRussia,"Пародийный аккаунт. Озвучиваю то, что политикам не позволено протоколом",Thu Dec 29 11:31:09 +0000 2011,0,7,691
471868887,"Санкт-Петербург, Россия",Маргарита Саваж,23305,18401,Volgograd,FALSE,ru,MargoSavazh,Честь имею. Нагло врать не умею.,Mon Jan 23 10:26:25 +0000 2012,1480,8021,231
1039581360,Amerika,Dark Nally,22,22603,Jakarta,FALSE,id,darknally,uptodate news!!!!,Thu Dec 27 13:06:58 +0000 2012,0,40,16
1510488662,USA,Laila Heats,3080,2228,Eastern Time (US & Canada),FALSE,en,lagonehoe,How can you judge me when you don’t know me?,Wed Jun 12 13:07:49 +0000 2013,3504,2369,12
1513801268,USA,CC Jack,2760,2100,Eastern Time (US & Canada),FALSE,en,YouJustCtrlC,ProBlack | Stoner | even jesus was stoned before receiving the throne | #BlackToLive | #BlackLivesMatter,Thu Jun 13 16:07:23 +0000 2013,2744,2700,10
1517678892,"Philadelphia, PA",Mr Moran,879,2044,Eastern Time (US & Canada),FALSE,en,MrMoraan,I'm getting too cool for this social media shiz. That cynical bastard you hate to love.,Fri Jun 14 21:58:48 +0000 2013,2981,758,15
1518857420,USA,Jonathon Norwood,789,2002,Eastern Time (US & Canada),FALSE,en,NoJonathonNo,Strive not to be a success but rather to be of value #blm #BforLife,Sat Jun 15 08:47:02 +0000 2013,2170,440,8
1532863891,ATL,Harper H21,1956,3300,Eastern Time (US & Canada),FALSE,en,CharlesJHarper,if you don't like me-it's ok,Thu Jun 20 04:49:04 +0000 2013,1850,1626,21
1533813962,USA,Lara Pretty,1795,3342,Eastern Time (US & Canada),FALSE,en,PrettyLaraPlace,Bitter Clinger #USAFVet #NRA #2A #bluestarmom #Crossfit #christian,Thu Jun 20 12:35:59 +0000 2013,3555,1360,24
1584279696,"Chicago, IL",Jasiah Jenkins,728,1918,Eastern Time (US & Canada),FALSE,en,BigBoyJasiah,Visionary..... don't put me in a box.... Enigma... Unconditional Love. I'm the good guy. if u heard otherwise you been lied to,Wed Jul 10 23:55:16 +0000 2013,2342,393,19
1594887416,USA,Jeremy Roberts,837,1573,Eastern Time (US & Canada),FALSE,en,Jery_RobertsYo,I think we can all agree that the 3 most powerful words of 2015 were “#BlackLivesMatter”,Mon Jul 15 03:34:50 +0000 2013,1836,898,5
1612106972,USA,Reuben Littlejohn,738,1899,Eastern Time (US & Canada),FALSE,en,LILJordamn,young nigga just trying to make# also do music#,Mon Jul 22 05:34:20 +0000 2013,2251,608,16
1617939218,USA,Pauline Gunn,908,1906,Eastern Time (US & Canada),FALSE,en,PaulineTT,"I be trying to chill, I swear do, because I luh God. You'on luh God?
#NoChill #BlackLivesMatter",Wed Jul 24 14:50:02 +0000 2013,1983,1075,5
1620474397,USA,Ramona Mcintosh,877,1745,Eastern Time (US & Canada),FALSE,en,RamonasNails,"Mom, Global Nail Artist, Consultant, blah,blah, I do more than paint a nail",Thu Jul 25 14:06:28 +0000 2013,1992,1138,6
